Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Settlement Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Margin Status,event_type
TID00001,OID00001,CID5962,US240362447,TSLA,Buy,942,721.36,679521.12,USD,1/26/2024,1/24/2024,Citibank,Trader A,Pending,No,33976.06,Variation,Pending,Early-Redemption
TID00002,OID00002,CID2693,US511561515,BABA,Sell,916,742.23,679882.68,GBP,1/20/2024,1/18/2024,Goldman Sachs,Trader A,Failed,No,33994.13,Variation,Satisfied,Barrier-Monitoring 
TID00003,OID00003,CID5299,US203344163,ADBE,Sell,928,1253,1162784,EUR,04/02/2024,3/31/2024,Morgan Stanley,Trader D,Pending,Yes,58139.2,Variation,Pending,Coupon Rate
TID00004,OID00004,CID4233,US918886777,NFLX,Sell,528,722.5,381480,USD,02/12/2024,02/10/2024,Citibank,Trader B,Pending,No,19074,Variation,Pending,Maturity
TID00005,OID00005,CID7506,US403557069,NFLX,Buy,623,1165.74,726256.02,GBP,1/22/2024,1/20/2024,Citibank,Trader C,Completed,Yes,36312.8,Initial,Failed,Early-Redemption
TID00006,OID00006,CID1598,US182199097,GOOGL,Sell,514,707.02,363408.28,USD,2/20/2024,2/18/2024,Citibank,Trader C,Failed,Yes,18170.41,Initial,Pending,Barrier-Monitoring 
TID00007,OID00007,CID8072,US792919549,AMZN,Buy,121,1228.6,148660.6,GBP,2/20/2024,2/18/2024,Morgan Stanley,Trader A,Completed,Yes,7433.03,Variation,Satisfied,Coupon Rate
TID00008,OID00008,CID7079,US951500830,NVDA,Sell,730,1335.37,974820.1,EUR,04/05/2024,04/03/2024,JPMorgan,Trader A,Pending,Yes,48741.01,Variation,Failed,Maturity
TID00009,OID00009,CID8079,US374814619,ADBE,Sell,386,1196.81,461968.66,USD,2/19/2024,2/17/2024,JPMorgan,Trader C,Pending,Yes,23098.43,Variation,Satisfied,Early-Redemption
TID00010,OID00010,CID3450,US736755554,AAPL,Sell,629,1057.79,665349.91,GBP,1/26/2024,1/24/2024,Citibank,Trader A,Pending,No,33267.5,Variation,Failed,Barrier-Monitoring 
TID00011,OID00011,CID1825,US463101969,AAPL,Buy,176,1009.04,177591.04,EUR,2/29/2024,2/27/2024,JPMorgan,Trader D,Failed,Yes,8879.55,Variation,Pending,Coupon Rate
TID00012,OID00012,CID5493,US138859211,BABA,Sell,859,1354.3,1163343.7,EUR,3/30/2024,3/28/2024,Citibank,Trader A,Completed,No,58167.18,Variation,Pending,Maturity
TID00013,OID00013,CID4114,US311929322,ADBE,Buy,274,1355.76,371478.24,GBP,1/24/2024,1/22/2024,Morgan Stanley,Trader A,Completed,Yes,18573.91,Variation,Satisfied,Early-Redemption
TID00014,OID00014,CID3503,US861733893,BABA,Buy,263,1463.38,384868.94,GBP,4/18/2024,4/16/2024,JPMorgan,Trader A,Pending,No,19243.45,Variation,Satisfied,Barrier-Monitoring 
TID00015,OID00015,CID8748,US716657966,BABA,Buy,296,572.37,169421.52,USD,04/02/2024,3/31/2024,Citibank,Trader B,Pending,Yes,8471.08,Variation,Pending,Coupon Rate
TID00016,OID00016,CID3859,US613556217,AAPL,Sell,353,1071.12,378105.36,GBP,3/28/2024,3/26/2024,Morgan Stanley,Trader B,Completed,Yes,18905.27,Initial,Pending,Maturity
TID00017,OID00017,CID1786,US927329389,GOOGL,Buy,450,1182.04,531918,USD,3/17/2024,3/15/2024,JPMorgan,Trader D,Failed,No,26595.9,Variation,Failed,Early-Redemption
TID00018,OID00018,CID3588,US212110852,NVDA,Buy,504,402.89,203056.56,GBP,03/02/2024,2/29/2024,Goldman Sachs,Trader A,Pending,Yes,10152.83,Variation,Failed,Barrier-Monitoring 
TID00019,OID00019,CID9597,US708344912,AMZN,Sell,671,910.42,610891.82,USD,03/10/2024,03/08/2024,Citibank,Trader B,Completed,Yes,30544.59,Variation,Failed,Coupon Rate
TID00020,OID00020,CID2179,US377248184,TSLA,Buy,724,784.03,567637.72,EUR,1/23/2024,1/21/2024,Citibank,Trader C,Pending,No,28381.89,Variation,Pending,Maturity
TID00021,OID00021,CID3462,US338997283,AMZN,Sell,423,1210.3,511956.9,USD,03/11/2024,03/09/2024,Morgan Stanley,Trader C,Completed,Yes,25597.85,Initial,Failed,
TID00022,OID00022,CID6403,US224688107,BABA,Sell,688,313.15,215447.2,EUR,3/31/2024,3/29/2024,Morgan Stanley,Trader C,Pending,No,10772.36,Initial,Pending,
TID00023,OID00023,CID5173,US609387594,GOOGL,Buy,997,1061.27,1058086.19,USD,02/06/2024,02/04/2024,Citibank,Trader C,Completed,Yes,52904.31,Initial,Pending,
TID00024,OID00024,CID1575,US431561710,TSLA,Sell,471,1405.76,662112.96,GBP,3/30/2024,3/28/2024,Citibank,Trader C,Failed,Yes,33105.65,Variation,Pending,
TID00025,OID00025,CID9500,US725944965,AAPL,Sell,11,1269.24,13961.64,GBP,03/12/2024,03/10/2024,Goldman Sachs,Trader D,Completed,No,698.08,Initial,Pending,
TID00026,OID00026,CID2619,US726315514,TSLA,Buy,696,1274.73,887212.08,GBP,04/03/2024,04/01/2024,Citibank,Trader A,Failed,Yes,44360.6,Initial,Failed,
TID00027,OID00027,CID8898,US544756731,NVDA,Sell,224,1254.35,280974.4,USD,3/26/2024,3/24/2024,Citibank,Trader C,Failed,Yes,14048.72,Initial,Pending,
TID00028,OID00028,CID8625,US470601172,ADBE,Sell,439,968.95,425369.05,GBP,3/22/2024,3/20/2024,Citibank,Trader B,Completed,Yes,21268.45,Variation,Pending,
TID00029,OID00029,CID2057,US173603600,NVDA,Sell,356,1077.01,383415.56,GBP,03/03/2024,03/01/2024,Citibank,Trader A,Pending,Yes,19170.78,Initial,Satisfied,
TID00030,OID00030,CID6126,US859204885,AMZN,Sell,819,983.19,805232.61,GBP,2/14/2024,02/12/2024,Morgan Stanley,Trader D,Completed,Yes,40261.63,Initial,Satisfied,
