Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00002,OID00002,CID2693,US511561515,BABA,Sell,916,742.23,679882.68,GBP,1/20/2024,1/18/2024,Goldman Sachs,Trader A,Failed,No,33994.13,Variation,,,,,Satisfied,Barrier-Monitoring 
TID00006,OID00006,CID1598,US182199097,GOOGL,Sell,514,707.02,363408.28,USD,2/20/2024,2/18/2024,Citibank,Trader C,Failed,Yes,18170.41,Initial,,,,,Pending,Barrier-Monitoring 
TID00010,OID00010,CID3450,US736755554,AAPL,Sell,629,1057.79,665349.91,GBP,1/26/2024,1/24/2024,Citibank,Trader A,Pending,No,33267.5,Variation,,,,,Failed,Barrier-Monitoring 
TID00014,OID00014,CID3503,US861733893,BABA,Buy,263,1463.38,384868.94,GBP,4/18/2024,4/16/2024,JPMorgan,Trader A,Pending,No,19243.45,Variation,,,,,Satisfied,Barrier-Monitoring 
TID00018,OID00018,CID3588,US212110852,NVDA,Buy,504,402.89,203056.56,GBP,03/02/2024,2/29/2024,Goldman Sachs,Trader A,Pending,Yes,10152.83,Variation,,,,,Failed,Barrier-Monitoring 
TID00022,OID00022,CID6403,US224688107,BABA,Sell,688,313.15,215447.2,EUR,3/31/2024,3/29/2024,Morgan Stanley,Trader C,Pending,No,10772.36,Initial,,,,,Pending,Barrier-Monitoring 
TID00026,OID00026,CID2619,US726315514,TSLA,Buy,696,1274.73,887212.08,GBP,04/03/2024,04/01/2024,Citibank,Trader A,Failed,Yes,44360.6,Initial,,,,,Failed,Barrier-Monitoring 
TID00030,OID00030,CID6126,US859204885,AMZN,Sell,819,983.19,805232.61,GBP,2/14/2024,02/12/2024,Morgan Stanley,Trader D,Completed,Yes,40261.63,Initial,,,,,Satisfied,Barrier-Monitoring 
TID00034,OID00034,CID3303,US316010828,MSFT,Buy,523,490.53,256547.19,USD,04/08/2024,04/06/2024,Citibank,Trader B,Failed,No,12827.36,Variation,,,,,Failed,Barrier-Monitoring 
TID00038,OID00038,CID1248,US777621649,AAPL,Buy,514,1371.07,704729.98,GBP,03/04/2024,03/02/2024,Goldman Sachs,Trader D,Failed,No,35236.5,Initial,,,,,Satisfied,Barrier-Monitoring 
TID00042,OID00042,CID1242,US816630499,TSLA,Buy,274,496.97,136169.78,EUR,3/13/2024,03/11/2024,Morgan Stanley,Trader D,Pending,Yes,6808.49,Initial,,,,,Failed,Barrier-Monitoring 
