Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00003,OID00003,CID5299,US203344163,ADBE,Sell,928,1253.0,1162784.0,EUR,04/02/2024,07/12/2024,Morgan Stanley,Trader D,Pending,Yes,58139.2,Variation,5%,Annual ,,,Pending,Coupon Rate
TID00007,OID00007,CID8072,US792919549,AMZN,Buy,121,1228.6,148660.6,GBP,2/20/2024,07/10/2024,Morgan Stanley,Trader A,Completed,Yes,7433.03,Variation,6%,Semi-annual ,,,Satisfied,Coupon Rate
TID00011,OID00011,CID1825,US463101969,AAPL,Buy,176,1009.04,177591.04,EUR,2/29/2024,2/27/2024,JPMorgan,Trader D,Failed,Yes,8879.55,Variation,2%,Annual ,,,Pending,Coupon Rate
TID00015,OID00015,CID8748,US716657966,BABA,Buy,296,572.37,169421.52,USD,04/02/2024,3/31/2024,Citibank,Trader B,Pending,Yes,8471.08,Variation,4%,Annual ,,,Pending,Coupon Rate
TID00019,OID00019,CID9597,US708344912,AMZN,Sell,671,910.42,610891.82,USD,03/10/2024,01/12/2025,Citibank,Trader B,Completed,Yes,30544.59,Variation,3%,Semi-annual ,,,Failed,Coupon Rate
TID00023,OID00023,CID5173,US609387594,GOOGL,Buy,997,1061.27,1058086.19,USD,02/06/2024,02/04/2024,Citibank,Trader C,Completed,Yes,52904.31,Initial,,,,,Pending,Coupon Rate
TID00027,OID00027,CID8898,US544756731,NVDA,Sell,224,1254.35,280974.4,USD,3/26/2024,3/24/2024,Citibank,Trader C,Failed,Yes,14048.72,Initial,,,,,Pending,Coupon Rate
TID00031,OID00031,CID4521,US444878690,NVDA,Buy,605,318.22,192523.1,EUR,01/09/2024,01/07/2024,JPMorgan,Trader D,Failed,No,9626.16,Initial,,,,,Satisfied,Coupon Rate
TID00035,OID00035,CID6632,US303681429,NVDA,Sell,54,1381.88,74621.52,USD,05/01/2024,4/29/2024,Citibank,Trader C,Completed,Yes,3731.08,Initial,,,,,Failed,Coupon Rate
TID00039,OID00039,CID5796,US112219917,BABA,Buy,148,1271.71,188213.08,EUR,02/05/2024,02/03/2024,JPMorgan,Trader C,Completed,Yes,9410.65,Variation,,,,,Satisfied,Coupon Rate
TID00043,OID00043,CID1487,US674871357,NVDA,Sell,708,947.47,670808.76,EUR,04/04/2024,04/02/2024,Citibank,Trader D,Completed,Yes,33540.44,Initial,,,,,Satisfied,Coupon Rate
TID00047,OID00047,CID4297,US311809960,GOOGL,Sell,622,1130.32,703059.04,EUR,1/22/2024,1/20/2024,JPMorgan,Trader A,Completed,Yes,35152.95,Initial,,,,,Failed,Coupon Rate
TID00051,OID00051,CID6818,US521862236,TSLA,Sell,491,1253.7,615566.7,USD,04/09/2024,04/07/2024,Citibank,Trader D,Pending,Yes,30778.33,Variation,,,,,Pending,Coupon Rate
TID00055,OID00055,CID8687,US768312799,ADBE,Buy,474,331.35,157059.9,EUR,02/04/2024,02/02/2024,Citibank,Trader A,Failed,Yes,7852.99,Variation,,,,,Pending,Coupon Rate
TID00059,OID00059,CID5742,US597572676,MSFT,Buy,229,635.42,145511.18,GBP,2/28/2024,2/26/2024,Goldman Sachs,Trader A,Completed,No,7275.56,Variation,,,,,Satisfied,Coupon Rate
TID00063,OID00063,CID2807,US562283653,BABA,Buy,843,312.69,263597.67,EUR,3/27/2024,3/25/2024,Citibank,Trader B,Pending,No,13179.88,Initial,,,,,Pending,Coupon Rate
TID00067,OID00067,CID4537,US128005684,BABA,Buy,999,222.19,221967.81,EUR,2/23/2024,2/21/2024,Citibank,Trader B,Pending,Yes,11098.39,Variation,,,,,Pending,Coupon Rate
TID00071,OID00071,CID8418,US299379488,MSFT,Sell,312,309.51,96567.12,USD,03/10/2024,03/08/2024,Goldman Sachs,Trader A,Pending,Yes,4828.36,Variation,,,,,Satisfied,Coupon Rate
TID00075,OID00075,CID7322,US407776453,NFLX,Buy,889,523.54,465427.06,GBP,2/24/2024,2/22/2024,Morgan Stanley,Trader B,Completed,No,23271.35,Variation,,,,,Satisfied,Coupon Rate
TID00079,OID00079,CID4796,US661594578,GOOGL,Buy,479,371.32,177862.28,GBP,01/12/2024,01/10/2024,JPMorgan,Trader D,Completed,Yes,8893.11,Initial,,,,,Pending,Coupon Rate
TID00083,OID00083,CID7938,US810077248,ADBE,Sell,703,505.37,355275.11,EUR,04/08/2024,04/06/2024,Goldman Sachs,Trader C,Pending,Yes,17763.76,Initial,,,,,Failed,Coupon Rate
TID00087,OID00087,CID4080,US815765397,AMZN,Buy,819,1176.15,963266.85,GBP,04/06/2024,04/04/2024,Morgan Stanley,Trader B,Pending,Yes,48163.34,Variation,,,,,Satisfied,Coupon Rate
