Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00001,OID00001,CID5962,US240362447,TSLA,Buy,942,721.36,679521.12,USD,1/26/2024,1/24/2024,Citibank,Trader A,Pending,No,33976.06,Variation,,,,,Pending,Early-Redemption
TID00005,OID00005,CID7506,US403557069,NFLX,Buy,623,1165.74,726256.02,GBP,1/22/2024,1/20/2024,Citibank,Trader C,Completed,Yes,36312.8,Initial,,,,,Failed,Early-Redemption
TID00009,OID00009,CID8079,US374814619,ADBE,Sell,386,1196.81,461968.66,USD,2/19/2024,2/17/2024,JPMorgan,Trader C,Pending,Yes,23098.43,Variation,,,,,Satisfied,Early-Redemption
TID00013,OID00013,CID4114,US311929322,ADBE,Buy,274,1355.76,371478.24,GBP,1/24/2024,07/14/2023,Morgan Stanley,Trader A,Completed,Yes,18573.91,Variation,,,,75%,Satisfied,Early-Redemption
TID00017,OID00017,CID1786,US927329389,GOOGL,Buy,450,1182.04,531918.0,USD,3/17/2024,04/12/2025,JPMorgan,Trader D,Failed,No,26595.9,Variation,,,3.0,60%,Failed,Early-Redemption
TID00021,OID00021,CID3462,US338997283,AMZN,Sell,423,1210.3,511956.9,USD,03/11/2024,03/09/2024,Morgan Stanley,Trader C,Completed,Yes,25597.85,Initial,,,,,Failed,Early-Redemption
TID00025,OID00025,CID9500,US725944965,AAPL,Sell,11,1269.24,13961.64,GBP,03/12/2024,03/10/2024,Goldman Sachs,Trader D,Completed,No,698.08,Initial,,,,,Pending,Early-Redemption
TID00029,OID00029,CID2057,US173603600,NVDA,Sell,356,1077.01,383415.56,GBP,03/03/2024,03/01/2024,Citibank,Trader A,Pending,Yes,19170.78,Initial,,,,,Satisfied,Early-Redemption
TID00033,OID00033,CID2486,US623162018,BABA,Buy,942,563.3,530628.6,USD,1/23/2024,1/21/2024,Morgan Stanley,Trader A,Failed,Yes,26531.43,Variation,,,,,Pending,Early-Redemption
TID00037,OID00037,CID3448,US845269714,MSFT,Buy,109,1297.53,141430.77,USD,4/15/2024,4/13/2024,Citibank,Trader B,Pending,Yes,7071.54,Initial,,,,,Pending,Early-Redemption
TID00041,OID00041,CID4536,US187405504,TSLA,Sell,276,770.92,212773.92,USD,3/31/2024,3/29/2024,Morgan Stanley,Trader C,Pending,No,10638.7,Initial,,,,,Failed,Early-Redemption
TID00045,OID00045,CID7892,US971820697,NVDA,Buy,230,368.08,84658.4,EUR,03/02/2024,2/29/2024,Goldman Sachs,Trader A,Failed,Yes,4232.92,Variation,,,,,Satisfied,Early-Redemption
TID00049,OID00049,CID5829,US796664232,NVDA,Buy,426,672.88,286646.88,USD,2/28/2024,2/26/2024,Citibank,Trader B,Failed,Yes,14332.34,Variation,,,,,Pending,Early-Redemption
TID00053,OID00053,CID6348,US536979056,META,Buy,583,941.33,548795.39,EUR,04/09/2024,04/07/2024,JPMorgan,Trader C,Failed,Yes,27439.77,Variation,,,,,Failed,Early-Redemption
