Trade ID,Order ID,Client ID,ISIN,Symbol,Trade Type,Quantity,Price,Trade Value,Currency,Maturity Date,Trade Date,Counterparty,Trader Name,KYC Status,Reference Data Validated,Collateral Required,Margin Type,Coupon rate,Coupon schedule ,Observation Dates,Auto-call level,Margin Status,event_type
TID00004,OID00004,CID4233,US918886777,NFLX,Sell,528,722.5,381480.0,USD,07/11/2025,02/10/2024,Citibank,Trader B,Pending,No,19074.0,Variation,,,,,Pending,Maturity
TID00008,OID00008,CID7079,US951500830,NVDA,Sell,730,1335.37,974820.1,EUR,07/07/2025,04/03/2024,JPMorgan,Trader A,Pending,Yes,48741.01,Variation,,,,,Failed,Maturity
TID00012,OID00012,CID5493,US138859211,BABA,Sell,859,1354.3,1163343.7,EUR,3/30/2024,3/28/2024,Citibank,Trader A,Completed,No,58167.18,Variation,,Semi-annual ,,,Pending,Maturity
TID00016,OID00016,CID3859,US613556217,AAPL,Sell,353,1071.12,378105.36,GBP,07/28/2025,3/26/2024,Morgan Stanley,Trader B,Completed,Yes,18905.27,Initial,,Semi-annual ,,,Pending,Maturity
TID00020,OID00020,CID2179,US377248184,TSLA,Buy,724,784.03,567637.72,EUR,06/23/2025,1/21/2024,Citibank,Trader C,Pending,No,28381.89,Variation,,,,,Pending,Maturity
TID00024,OID00024,CID1575,US431561710,TSLA,Sell,471,1405.76,662112.96,GBP,3/30/2024,3/28/2024,Citibank,Trader C,Failed,Yes,33105.65,Variation,,,,,Pending,Maturity
TID00028,OID00028,CID8625,US470601172,ADBE,Sell,439,968.95,425369.05,GBP,3/22/2024,3/20/2024,Citibank,Trader B,Completed,Yes,21268.45,Variation,,,,,Pending,Maturity
TID00032,OID00032,CID9833,US511362334,NFLX,Buy,803,1392.03,1117800.09,GBP,2/13/2024,02/11/2024,JPMorgan,Trader C,Completed,No,55890.0,Variation,,,,,Satisfied,Maturity
TID00036,OID00036,CID8148,US696783507,TSLA,Buy,524,598.92,313834.08,USD,3/26/2024,3/24/2024,Goldman Sachs,Trader D,Failed,No,15691.7,Variation,,,,,Pending,Maturity
TID00040,OID00040,CID4309,US504829074,BABA,Buy,228,309.17,70490.76,USD,4/21/2024,4/19/2024,Goldman Sachs,Trader C,Completed,No,3524.54,Variation,,,,,Failed,Maturity
TID00044,OID00044,CID7067,US590523117,MSFT,Sell,815,474.82,386978.3,EUR,2/18/2024,2/16/2024,JPMorgan,Trader C,Completed,No,19348.92,Initial,,,,,Satisfied,Maturity
TID00048,OID00048,CID5807,US463417877,AAPL,Sell,975,1438.69,1402722.75,GBP,2/13/2024,02/11/2024,JPMorgan,Trader B,Failed,No,70136.14,Initial,,,,,Pending,Maturity
TID00052,OID00052,CID8422,US631021383,NFLX,Buy,390,1051.69,410159.1,USD,03/03/2024,03/01/2024,Goldman Sachs,Trader C,Completed,Yes,20507.96,Variation,,,,,Pending,Maturity
TID00056,OID00056,CID3084,US552352193,META,Sell,773,262.34,202788.82,EUR,2/17/2024,2/15/2024,Morgan Stanley,Trader B,Failed,No,10139.44,Variation,,,,,Failed,Maturity
